link_id,length,link_name,DIR,FROM_NODE,TO_NODE,AB_CAPACIT,BA_CAPACIT,AB_FFT,BA_FFT,toll_ab,toll_ba,ALPHA,BETA,dir_name_ab,dir_name_ba,is_core
6254,0.0436,海滨大道南,1,20853,20115,3000,3000,0.0582,0.0582,,,1.1,2.5,北向南,,1
8720,0.0383,海滨大道中,-1,20854,20849,3000,3000,0.0511,0.0511,,,1.1,2.5,,南向北,1
16862,0.1264,,0,20855,20856,400,400,0.3447,0.3447,,,1.5,3,南向北,北向南,1
34735,0.0376,,0,20856,20863,400,400,0.1026,0.1026,,,1.5,3,南向北,北向南,1
15177,0.1629,,0,20857,20858,400,400,0.4442,0.4442,,,1.5,3,南向北,北向南,1
15178,0.0175,,0,20858,20835,400,400,0.0476,0.0476,,,1.5,3,南向北,北向南,1
50592,0.0084,海滨大道南,0,20859,20855,3000,3000,0.0112,0.0112,,,1.1,2.5,南向北,北向南,1
8713,0.0554,海滨大道南,1,20859,20860,3000,3000,0.0739,0.0739,,,1.1,2.5,东向西,,1
8714,0.0406,海滨大道南,1,20860,20852,3000,3000,0.0542,0.0542,,,1.1,2.5,北向南,,1
8717,0.0404,海滨大道南,1,20861,20859,3000,3000,0.0538,0.0538,,,1.1,2.5,南向北,,1
8719,0.0546,海滨大道中,-1,20862,20854,3000,3000,0.0728,0.0728,,,1.1,2.5,,南向北,1
48855,0.0611,,0,20863,20842,400,400,0.1665,0.1665,,,1.5,3,南向北,北向南,1
39424,0.2218,,0,20864,20846,400,400,0.6048,0.6048,,,1.5,3,北向南,南向北,1
4858,0.0653,海滨大道中,1,20864,20865,3000,3000,0.0871,0.0871,,,1.1,2.5,北向南,,1
